city,date,pm25,pm10,no2,o3,co,so2,sub_pm25,sub_pm10,sub_no2,sub_o3,sub_co,sub_so2,aqi,dominant_pollutant
Mumbai,2019-06-18,12.4,16.1,1.5,,,23.3,20.7,16.1,1.8,,,29.1,29.1,so2
Mumbai,2019-06-19,20.7,117.2,-5.3,,,23.7,34.6,111.8,0.0,,,29.6,111.8,pm10
Mumbai,2019-06-20,17.1,112.1,-20.2,5.6,321.6,24.5,28.5,108.4,0.0,5.6,401.0,30.6,401.0,co
Mumbai,2019-06-21,22.7,150.7,-15.4,5.5,436.9,23.9,37.9,134.0,0.0,5.5,401.0,29.9,401.0,co
Mumbai,2019-06-22,24.8,178.3,-17.4,5.2,430.9,24.2,41.4,152.4,0.0,5.2,401.0,30.2,401.0,co
Mumbai,2019-06-23,24.9,197.8,9.7,5.2,328.9,23.8,41.5,165.3,12.1,5.2,401.0,29.7,401.0,co
Mumbai,2019-06-24,27.2,138.3,18.0,4.9,665.8,23.9,45.3,125.8,22.5,4.9,401.0,29.9,401.0,co
Mumbai,2019-06-25,21.2,104.4,6.2,4.9,525.5,24.1,35.3,103.3,7.7,4.9,401.0,30.1,401.0,co
Mumbai,2019-06-26,16.8,88.2,6.5,4.6,448.4,23.7,27.9,88.2,8.1,4.6,401.0,29.6,401.0,co
Mumbai,2019-06-27,13.3,51.0,9.3,5.0,358.7,18.3,22.2,51.0,11.6,5.0,401.0,22.9,401.0,co
Mumbai,2019-06-28,8.6,21.6,7.3,5.2,348.1,18.1,14.3,21.6,9.1,5.2,401.0,22.6,401.0,co
Mumbai,2019-06-29,14.2,38.5,20.6,5.1,417.9,18.2,23.6,38.5,25.8,5.1,401.0,22.7,401.0,co
Mumbai,2019-06-30,17.6,36.2,5.8,5.4,587.2,18.8,29.4,36.2,7.2,5.4,401.0,23.5,401.0,co
Mumbai,2019-07-01,50.9,15.0,13.8,6.2,435.3,17.8,84.6,15.0,17.3,6.2,401.0,22.3,401.0,co
Mumbai,2019-07-02,15.5,22.0,11.4,7.0,528.7,18.7,25.8,22.0,14.3,7.0,401.0,23.4,401.0,co
Mumbai,2019-07-03,503.2,77.9,6.2,7.6,670.6,19.4,401.0,77.9,7.7,7.6,401.0,24.3,401.0,co
Mumbai,2019-07-04,191.4,59.0,7.0,7.1,1185.8,19.6,355.0,59.0,8.7,7.1,401.0,24.5,401.0,co
Mumbai,2019-07-05,14.6,70.8,5.3,6.7,731.5,19.0,24.3,70.8,6.6,6.7,401.0,23.7,401.0,co
Mumbai,2019-07-06,12.1,48.1,5.3,6.5,300.9,18.5,20.1,48.1,6.6,6.5,401.0,23.1,401.0,co
Mumbai,2019-07-07,16.4,66.8,3.7,6.8,405.8,18.7,27.3,66.8,4.6,6.8,401.0,23.4,401.0,co
Mumbai,2019-07-08,248.8,62.4,10.6,6.1,421.8,27.3,399.1,62.4,13.3,6.1,401.0,34.1,401.0,co
Mumbai,2019-07-09,139.1,49.4,8.1,5.4,447.0,20.1,314.9,49.4,10.1,5.4,401.0,25.1,401.0,co
Mumbai,2019-07-10,10.9,35.2,8.7,5.6,392.4,22.9,18.2,35.2,10.9,5.6,401.0,28.7,401.0,co
Mumbai,2019-07-11,116.9,58.5,3.5,6.6,315.6,13.2,289.4,58.5,4.4,6.6,401.0,16.5,401.0,co
Mumbai,2019-07-12,,,,,,,,,,,,,,
Mumbai,2019-07-13,13.1,56.1,3.6,6.1,371.5,13.3,21.9,56.1,4.5,6.1,401.0,16.7,401.0,co
Mumbai,2019-07-14,11.4,63.2,6.1,6.3,386.8,13.3,19.0,63.2,7.6,6.3,401.0,16.7,401.0,co
Mumbai,2019-07-15,15.4,81.4,5.1,6.1,302.4,13.3,25.7,81.4,6.4,6.1,401.0,16.7,401.0,co
Mumbai,2019-07-16,18.4,74.7,5.5,6.3,263.1,12.8,30.7,74.7,6.9,6.3,401.0,16.0,401.0,co
Mumbai,2019-07-17,18.5,89.1,13.6,5.6,336.4,18.8,30.8,89.1,17.0,5.6,401.0,23.5,401.0,co
Mumbai,2019-07-18,40.1,93.1,10.9,5.6,295.4,6.3,66.4,93.1,13.6,5.6,401.0,7.9,401.0,co
Mumbai,2019-07-19,23.2,107.0,16.6,5.5,352.6,6.2,38.6,105.0,20.8,5.5,401.0,7.8,401.0,co
Mumbai,2019-07-20,27.9,73.5,14.4,6.0,836.6,7.4,46.5,73.5,18.0,6.0,401.0,9.2,401.0,co
Mumbai,2019-07-21,20.0,56.2,15.8,6.1,761.0,6.6,33.4,56.2,19.8,6.1,401.0,8.3,401.0,co
Mumbai,2019-07-22,10.3,38.4,10.9,6.3,416.2,6.3,17.1,38.4,13.7,6.3,401.0,7.9,401.0,co
Mumbai,2019-07-23,27.5,34.4,6.1,6.4,327.8,6.3,45.8,34.4,7.6,6.4,401.0,7.9,401.0,co
Mumbai,2019-07-24,12.3,36.4,5.3,6.7,396.0,6.5,20.5,36.4,6.6,6.7,401.0,8.1,401.0,co
Mumbai,2019-07-25,18.6,59.3,6.0,6.2,494.7,6.9,31.0,59.3,7.5,6.2,401.0,8.6,401.0,co
Mumbai,2019-07-26,13.6,48.3,8.6,6.1,336.2,5.9,22.6,48.3,10.7,6.1,401.0,7.3,401.0,co
Mumbai,2019-07-27,12.8,43.4,11.5,4.5,284.6,5.5,21.3,43.4,14.3,4.5,401.0,6.9,401.0,co
Mumbai,2019-07-28,17.3,67.2,11.2,4.9,223.6,5.6,28.8,67.2,13.9,4.9,401.0,7.0,401.0,co
Mumbai,2019-07-29,13.1,50.5,12.0,7.2,344.0,6.1,21.9,,15.0,7.2,401.0,7.7,401.0,co
Mumbai,2019-07-30,10.1,41.3,28.2,12.9,323.6,6.2,16.8,41.3,35.2,12.9,401.0,7.8,401.0,co
Mumbai,2019-07-31,11.7,51.9,30.5,4.9,278.2,6.2,19.6,51.9,38.1,4.9,401.0,7.8,401.0,co
Mumbai,2019-08-01,10.7,47.0,35.4,5.3,256.4,7.0,17.9,47.0,44.3,5.3,401.0,8.8,401.0,co
Mumbai,2019-08-02,51.7,120.4,23.8,25.7,381.8,25.5,86.0,113.9,29.8,25.7,401.0,31.8,401.0,co
Mumbai,2019-08-03,4.8,27.7,19.9,4.1,216.0,16.2,8.0,27.7,24.8,4.1,401.0,20.2,401.0,co
